Product name,Price (RON),Contents
Buchet cu bujori roz si lalele galbene,369,"{'Bujor': 10, 'Lalea': 9}"
"Cutie cu hortensie, miniroze, matiola ",309,"{'Hortensie': 1, 'Minirosa': 5, 'Mattiola': 3, 'Senecio': 3}"
Buchet cu floarea-soarelui si gerbera,209,"{'Floarea-soarelui': 7, 'Gerbera': 7, 'Solidago': 3}"
Buchet cu 35 lalele,299,{'Lalea': 35}
Buchet cu 11 alstroemeria,169,{'Alstroemeria': 11}
Buchet cu anturium,329,{'Anthurium': 15}
Buchetel cu minigerbera,169,{'Minigerbera': 19}
"Cutie cu lalele, irisi, frezii si chamelaucium",169,"{'Lalea': 3, 'Chamelaucium': 2, 'Frezia': 3, 'Iris': 3, 'Eucalipt': 1}"
"Cutie in forma de Inima cu 15 trandafiri, 10 greentrick si 6 craspedia",399,"{'Trandafir': 15, 'Greentick': 10, 'Craspedia': 6}"
"Cutie cu trandafiri, lisianthus si eryngium",319,"{'Elisianthus': 5, 'Eryngium': 2}"
"Buchet cu irisi, astrantia si anemone",225,"{'Astrantia': 5, 'Anemone': 10}"
Buchetel cu 5 zambile,89,{'Zambila': 5}
Buchet roz din minirose si ranunculus,459,"{'Minirosa': 10, 'Ranunculus': 10}"
"Buchet cu orhidee vanda, bujori, minirose si lavanda",359,"{'Bujor': 9, 'Minirosa': 6, 'Cupe': 3, 'Astilbe': 3}"
Cutie cu flori deosebite pentru persoanele dragi,449,"{'Bujor': 3, 'Hortensie': 2, 'Ranunculus': 6, 'Trandafir': 8, 'Mattiola': 3, 'Lisianthus': 2}"
"statueta venus cu trandafiri rosii urs de plus, sampanie si ciocolata",399,{'Trandafir': 11}
cutie cu 25 de trandafiri portocalii,319,{'Trandafir': 25}
Cutie cu 21 de trandafiri,295,{'Trandafir': 21}
11 bujori roz si albi cu eucalipt ,335,{'Bujor': 11}
Aranjament cu trandafiri rosii in statue cu Venus,279,{'Trandafir': 9}
"Buchet cu ranunculus, trandafiri, frezii si chamelaucium",229,"{'Ranunculus': 3, 'Trandafir': 4, 'Frezia': 4, 'Chamelaucium': 1}"
Buchet cu 13 bujori roz si eucalipt ,385,{'Bujor': 13}
Buchet cu trandafiri rosii si albi,339,{'Trandafir': 25}
cutie cu 5 bujori,225,{'Bujor': 5}
Cutie eleganta de flori cu trandafiri albi si rosii,429,{'Trandafir': 25}
Aranjament cu trandafiri si eustoma,169,"{'Trandafir': 6, 'Lisianthus': 2}"
