Product ID,Product name,Competitor Price (RON),Original Price (RON),Contents,Price N (RON),Difference,Difference (%)
10334,Flori de paste,249.0,249.0,"{'Lalea': 10, 'Crizantema': 5}",101.0,-148.0,-0.5943775100401606
10341,Valentines box,499.0,499.0,{'Trandafir': 19},201.0,-298.0,-0.5971943887775552
1056,39 Trandafiri,718.2,718.2,{'Trandafir': 39},401.0,-317.0,-0.44138123085491504
10135,Valentine in roz,324.0,324.0,{'Trandafir': 13},141.0,-183.0,-0.5648148148148148
10134,Fi Valentina mea!,324.0,324.0,{'Trandafir': 13},141.0,-183.0,-0.5648148148148148
10229,Trandafiri roz rotund,295.2,295.2,{'Trandafir': 11},121.0,-174.0,-0.5894308943089431
10331,Galetusa cu flori,304.2,304.2,"{'Lalea': 5, 'Crizantema': 3, 'Santini': 3}",78.0,-226.0,-0.7429322813938198
10119,Crini asiatici galbeni,365.76,457.2,{'Crin': 7},151.0,-215.0,-0.587817147856518
10282,Cale si trandafiri,475.2,475.2,"{'Trandafir': 9, 'Cale': 4}",149.0,-326.0,-0.6860269360269361
10232,Trandafiri albi rotund,295.2,295.2,{'Trandafir': 11},121.0,-174.0,-0.5894308943089431
10265,Atingere emotionala,529.2,529.2,"{'Trandafir': 10, 'Crin': 5}",211.0,-318.0,-0.600907029478458
10191,Dorinta aprinsa,726.75,765.0,{'Trandafir': 39},401.0,-326.0,-0.44857241142070864
10132,Trandafiri cu leucadendron,349.2,349.2,"{'Trandafir': 7, 'Leucadendron': 4}",101.0,-248.0,-0.7101947308132875
1062,Ginger,403.2,403.2,{'Ginger': 7},81.0,-322.0,-0.7986111111111112
10327,Cos lalele,349.0,349.0,{'Lalea': 29},156.0,-193.0,-0.5530085959885387
10105,21 Trandafiri,453.6,453.6,{'Trandafir': 21},221.0,-233.0,-0.513668430335097
10133,Trandafiri Valentine,1299.0,1299.0,{'Trandafir': 59},601.0,-698.0,-0.5373364126250962
10330,Tot mai sus,430.2,430.2,"{'Frezia': 10, 'Crizantema': 4, 'Lalea': 3}",108.0,-322.0,-0.7484890748489075
10264,49 Trandafiri multicolori,988.2,988.2,{'Trandafir': 49},501.0,-487.0,-0.49281521959117586
10208,Tendinte natale,295.2,295.2,{'Crizantema': 9},83.0,-212.0,-0.7181571815718157
10223,Trandafiri sofisticati,511.2,511.2,{'Trandafir': 23},241.0,-270.0,-0.528169014084507
108,Crini asiatici mix,430.2,430.2,{'Crin': 7},151.0,-279.0,-0.6485355648535565
1089,Cale roz deluxe,691.2,691.2,{'Cale': 19},239.0,-452.0,-0.6539351851851851
10328,Suflet luminat,394.2,394.2,"{'Lalea': 10, 'Frezia': 10, 'Santini': 1}",117.0,-277.0,-0.7026889903602233
10214,Ursulet indragostit,313.2,313.2,{'Trandafir': 1},21.0,-292.0,-0.9323116219667944
1087,Cale galbene deluxe,691.2,691.2,{'Cale': 19},239.0,-452.0,-0.6539351851851851
10317,Confidential,606.6,606.6,"{'Trandafir': 14, 'Trachelium': 9}",205.0,-402.0,-0.6627101879327398
10251,Buchet alb,475.2,475.2,"{'Trandafir': 15, 'Garoafa': 20}",221.0,-254.0,-0.5345117845117845
10417,Mesagerul dragostei,619.2,619.2,{'Trandafir': 21},221.0,-398.0,-0.6427648578811369
10344,Cosul primaverii,538.2,538.2,"{'Lalea': 20, 'Iris': 19}",187.0,-351.0,-0.6521739130434782
10245,Buchet asortat,457.2,457.2,"{'Trandafir': 7, 'Santini': 3, 'Crizantema': 5}",139.0,-318.0,-0.6955380577427822
1079,Ginger cu dragoste,538.2,538.2,{'Ginger': 11},121.0,-417.0,-0.7748049052396878
10222,Buchet crini albi,277.2,277.2,{'Crin': 3},71.0,-206.0,-0.7431457431457432
10329,Un paste fericit,448.2,448.2,"{'Lalea': 8, 'Frezia': 6, 'Santini': 1}",87.0,-361.0,-0.8054439982150826
10207,Indemn idilic,538.2,538.2,{'Trandafir': 25},261.0,-277.0,-0.514678558156819
10332,Lalele de paste,286.56,358.2,{'Lalea': 15},86.0,-201.0,-0.7014237855946399
10184,Leucadendron cu trandafiri,385.2,385.2,"{'Trandafir': 9, 'Leucadendron': 6}",131.0,-254.0,-0.6593977154724818
10346,Cutie trandafiri albi,484.2,484.2,{'Trandafir': 19},201.0,-283.0,-0.5844692275919042
10339,White passion,629.1,699.0,{'Trandafir': 25},261.0,-368.0,-0.5849626450484819
10268,Buchet trandafiri galbeni si portocalii,392.4,392.4,{'Trandafir': 17},181.0,-211.0,-0.5377166156982671
